Country,Year,Trust_Percentage
Albania,2004,23.2
Albania,2010,9.221174
Albania,2022,2.77237
Algeria,2004,10.76443
Algeria,2014,17.16667
Andorra,2010,19.97793
Andorra,2022,25.49801
Argentina,2004,15.01535
Argentina,2010,17.36787
Argentina,2014,19.20537
Argentina,2022,19.18133
Armenia,2010,20.38736
Armenia,2014,10.89254
Armenia,2022,17.51707
Australia,2010,45.57007
Australia,2014,51.44999
Australia,2022,48.53989
Austria,2004,31.29222
Austria,2010,34.96698
Austria,2022,49.77389
Azerbaijan,2014,14.79329
Azerbaijan,2022,26.30006
Bangladesh,2004,23.26667
Bangladesh,2022,12.91667
Belarus,2004,38.0
Belarus,2010,41.32299
Belarus,2014,32.59855
Belarus,2022,40.04594
Belgium,2004,29.36006
Belgium,2010,35.66922
Bolivia,2022,8.514756
Bosnia and Herzegovina,2004,15.58333
Bosnia and Herzegovina,2010,25.63427
Bosnia and Herzegovina,2022,9.64249
Brazil,2010,9.2391
Brazil,2014,7.063784
Brazil,2022,6.524758
Bulgaria,2004,24.85789
Bulgaria,2010,18.2579
Bulgaria,2022,17.09326
Burkina Faso,2010,13.82008
Canada,2004,38.43174
Canada,2010,41.79429
Canada,2022,46.69302
Chile,2004,22.17667
Chile,2010,12.37054
Chile,2014,12.4
Chile,2022,12.90272
China,2004,52.5
China,2010,49.28643
China,2014,60.342
China,2022,63.48947
Colombia,2010,14.31405
Colombia,2014,4.100529
Colombia,2022,4.539474
Croatia,2004,17.89451
Croatia,2010,19.42181
Croatia,2022,13.57521
Cyprus,2010,9.200013
Cyprus,2014,7.481658
Cyprus,2022,6.596476
Czechia,2004,23.37909
Czechia,2010,29.47071
Czechia,2022,27.31138
Denmark,2004,64.12512
Denmark,2010,74.91604
Denmark,2022,73.86647
Ecuador,2014,7.154742
Ecuador,2022,5.75
Egypt,2004,37.46667
Egypt,2010,18.48929
Egypt,2014,21.50089
Egypt,2022,7.333333
Estonia,2004,21.67063
Estonia,2010,31.74287
Estonia,2014,38.96025
Estonia,2022,33.94373
Ethiopia,2010,21.4
Ethiopia,2022,11.86992
Finland,2004,56.75382
Finland,2010,59.9127
Finland,2022,68.35999
France,2004,21.43032
France,2010,23.68455
France,2022,26.25627
Georgia,2010,19.72111
Georgia,2014,8.818635
Georgia,2022,9.017171
Germany,2004,33.05191
Germany,2010,35.58326
Germany,2014,44.62337
Germany,2022,41.61021
Ghana,2010,8.474577
Ghana,2014,5.030944
Greece,2004,20.49037
Greece,2010,20.66105
Greece,2022,8.447196
Guatemala,2010,14.9303
Guatemala,2022,17.9821
Haiti,2014,21.34269
Hong Kong,2010,40.33546
Hong Kong,2014,48.0
Hong Kong,2022,36.37148
Hungary,2004,21.40927
Hungary,2010,23.9954
Hungary,2022,27.15409
Iceland,2004,39.2562
Iceland,2010,48.51524
Iceland,2022,62.27
India,2004,38.86114
India,2010,20.68966
India,2014,16.67484
Indonesia,2004,45.7
Indonesia,2010,37.46898
Indonesia,2022,4.637319
Iran,2004,49.60506
Iran,2010,10.53618
Iran,2022,14.80987
Iraq,2004,46.06452
Iraq,2010,38.61533
Iraq,2014,30.0
Iraq,2022,11.0
Ireland,2004,35.18803
Ireland,2010,37.31282
Israel,2004,22.85238
Italy,2004,31.75
Italy,2010,28.74554
Italy,2022,26.55384
Japan,2004,39.64758
Japan,2010,36.58759
Japan,2014,35.93942
Japan,2022,33.70288
Jordan,2004,27.11041
Jordan,2010,30.67613
Jordan,2014,13.25
Jordan,2022,15.87697
Kazakhstan,2014,38.33274
Kazakhstan,2022,22.80564
Kenya,2022,9.478673
Kosovo,2010,10.51535
Kuwait,2014,28.5495
Kyrgyzstan,2004,16.58677
Kyrgyzstan,2014,36.26667
Kyrgyzstan,2022,12.80132
Latvia,2004,16.68312
Latvia,2010,24.93126
Latvia,2022,22.19023
Lebanon,2014,9.833334
Lebanon,2022,9.916667
Libya,2014,10.01798
Libya,2022,9.113712
Lithuania,2004,23.39532
Lithuania,2010,27.76398
Lithuania,2022,31.69582
Luxembourg,2004,24.8527
Luxembourg,2010,31.43726
Macao,2022,41.44672
Malaysia,2010,8.825978
Malaysia,2014,8.538462
Malaysia,2022,19.5735
Maldives,2022,21.07796
Mali,2010,14.8631
Malta,2004,20.38216
Malta,2010,21.27139
Mexico,2004,20.79574
Mexico,2010,15.44872
Mexico,2014,12.4
Mexico,2022,10.48835
Moldova,2004,14.1357
Moldova,2010,14.08897
Mongolia,2022,25.98135
Montenegro,2004,32.92453
Montenegro,2010,24.03977
Montenegro,2022,21.74356
Morocco,2004,23.02894
Morocco,2010,12.75
Morocco,2014,12.33333
Morocco,2022,16.5
Myanmar,2022,15.08333
Netherlands,2004,59.38604
Netherlands,2010,54.11947
Netherlands,2014,66.1409
Netherlands,2022,57.02047
New Zealand,2010,48.53249
New Zealand,2014,55.29132
New Zealand,2022,56.57521
Nicaragua,2022,4.25
Nigeria,2004,25.32146
Nigeria,2014,15.01244
Nigeria,2022,13.00635
North Macedonia,2004,13.06877
North Macedonia,2010,17.51093
North Macedonia,2022,15.05892
Northern Cyprus,2010,4.674655
Northern Ireland,2004,38.1769
Northern Ireland,2010,28.51343
Northern Ireland,2022,38.80566
Norway,2010,73.28255
Norway,2022,72.09141
Pakistan,2004,28.15
Pakistan,2014,22.16998
Pakistan,2022,23.30827
Palestine,2014,15.8
Peru,2004,10.59294
Peru,2010,6.202934
Peru,2014,8.369775
Peru,2022,4.161271
Philippines,2004,8.293602
Philippines,2014,3.151812
Philippines,2022,5.330985
Poland,2004,18.27376
Poland,2010,22.85221
Poland,2014,22.21159
Poland,2022,24.11202
Portugal,2004,9.820824
Portugal,2010,19.16701
Portugal,2022,16.91347
Puerto Rico,2004,22.36111
Puerto Rico,2022,17.6575
Qatar,2014,21.428
Romania,2004,9.860384
Romania,2010,17.83797
Romania,2014,7.672767
Romania,2022,12.13196
Russia,2004,22.93443
Russia,2010,26.24944
Russia,2014,27.84828
Russia,2022,22.87902
Rwanda,2010,4.844061
Rwanda,2014,16.63392
Saudi Arabia,2004,50.53262
Serbia,2004,18.33333
Serbia,2010,12.64305
Serbia,2022,16.3166
Singapore,2004,16.66935
Singapore,2014,37.30294
Singapore,2022,34.39151
Slovakia,2004,15.22629
Slovakia,2010,12.10387
Slovakia,2022,21.59557
Slovenia,2004,21.17296
Slovenia,2010,21.08073
Slovenia,2014,19.92516
Slovenia,2022,25.26486
South Africa,2004,11.51627
South Africa,2014,23.28115
South Korea,2004,27.33333
South Korea,2010,28.00356
South Korea,2014,26.45815
South Korea,2022,32.93173
Spain,2004,34.50539
Spain,2010,27.64687
Spain,2014,18.97492
Spain,2022,40.96439
Sweden,2004,63.71845
Sweden,2010,63.94534
Sweden,2014,60.10379
Sweden,2022,62.76585
Switzerland,2010,52.23752
Switzerland,2022,58.53579
Taiwan,2010,24.17406
Taiwan,2014,30.26633
Taiwan,2022,30.79179
Tajikistan,2022,20.58333
Tanzania,2004,7.685739
Thailand,2010,41.26467
Thailand,2014,32.08202
Thailand,2022,28.88868
Trinidad and Tobago,2010,3.819066
Trinidad and Tobago,2014,3.203203
Tunisia,2014,15.51867
Tunisia,2022,13.8245
Turkey,2004,15.51625
Turkey,2010,8.844386
Turkey,2014,11.62453
Turkey,2022,13.99586
Uganda,2004,7.587222
Ukraine,2004,26.07209
Ukraine,2010,25.98927
Ukraine,2014,23.1215
Ukraine,2022,28.34588
United Kingdom,2004,28.54928
United Kingdom,2010,35.34413
United Kingdom,2022,43.31179
United States,2004,35.51853
United States,2010,39.13124
United States,2014,34.81074
United States,2022,37.02172
Uruguay,2010,24.6
Uruguay,2014,13.8
Uruguay,2022,14.47495
Uzbekistan,2014,13.86667
Venezuela,2004,15.83333
Venezuela,2022,14.20168
Vietnam,2004,38.7
Vietnam,2010,50.90301
Vietnam,2022,27.66667
Yemen,2014,38.5
Zambia,2010,10.8
Zimbabwe,2004,11.66829
Zimbabwe,2014,8.294227
Zimbabwe,2022,2.139918
